Sample,Type,Depth (g/cm2),Depth (m),150Sm/149Sm,158Gd/157Gd,e150/149Sm,e158/157Gd,J149Sm,J157Gd,References
15001.375,A-15,412.0,2.360,0.538500,1.59608,0.0029,0.0036,0.0719,0.0140,"Hidaka et al. 2000 Neutron capture effects on samarium, europium, and gadolinium in Apollo 15 deep drill-core samples "
15002.747,A-15,341.0,1.990,0.539135,1.59763,0.0033,0.0042,0.0820,0.0164,"Hidaka et al. 2000 Neutron capture effects on samarium, europium, and gadolinium in Apollo 15 deep drill-core samples "
15003.734,A-15,276.0,1.590,0.539942,1.59970,0.0039,0.0050,0.0949,0.0195,"Hidaka et al. 2000 Neutron capture effects on samarium, europium, and gadolinium in Apollo 15 deep drill-core samples "
15004.129,A-15,208.0,1.200,0.540550,1.60119,0.0043,0.0055,0.1045,0.0217,"Hidaka et al. 2000 Neutron capture effects on samarium, europium, and gadolinium in Apollo 15 deep drill-core samples "
15005.14,A-15,138.0,0.810,0.540156,1.60021,0.0040,0.0052,0.0983,0.0202,"Hidaka et al. 2000 Neutron capture effects on samarium, europium, and gadolinium in Apollo 15 deep drill-core samples "
15005.79,A-15,109.0,0.650,0.539791,1.59920,0.0038,0.0048,0.0925,0.0187,"Hidaka et al. 2000 Neutron capture effects on samarium, europium, and gadolinium in Apollo 15 deep drill-core samples "
15006.310,A-15,65.0,0.390,0.538766,1.59695,0.0031,0.0039,0.0762,0.0153,"Hidaka et al. 2000 Neutron capture effects on samarium, europium, and gadolinium in Apollo 15 deep drill-core samples "
15601.65,A-15,0.0,0.000,0.53861,1.59670,0.0030,0.0039,0.0731,0.0152,Russ et al. 1972 Lunar neutron stratigraphy
15221.46,A-15,0.0,0.000,,1.59683,,0.0039,,0.0154,Russ et al. 1972 Lunar neutron stratigraphy
15231.47,A-15,0.0,0.000,,1.59689,,0.0040,,0.0155,Russ et al. 1972 Lunar neutron stratigraphy
15041.54,A-15,0.0,0.000,0.53796,1.59549,0.0026,0.0034,0.0628,0.0134,Russ et al. 1972 Lunar neutron stratigraphy
15006.27,A-15,65.0,0.401,,1.59661,,0.0038,,0.0151,Russ et al. 1972 Lunar neutron stratigraphy
15005.22,A-15,109.0,0.592,,1.59851,,0.0046,,0.0179,Russ et al. 1972 Lunar neutron stratigraphy
15005.26,A-15,138.0,0.750,,1.59985,,0.0051,,0.0199,Russ et al. 1972 Lunar neutron stratigraphy
