Isotope,b1,b2,b3,b4,b5,b6,f1,f2
152Gd,2.0890452357605147,-130.76913098965449,5002.626212771002,-95621.70936386455,885135.8066302144,-3.167776995469301e6,0.020437325192343765,9.781319213556397
154Gd,0.39161572171891135,-17.558353237432975,457.0479881634639,-5420.072567041431,24439.80315548872,-10287.81628236268,0.004386855766643903,8.32775925742612
155Gd,92.2851626339841,-5411.647345242982,208840.4951710249,-4.024877952754739e6,3.7467929601192266e7,-1.3448312043414026e8,0.9463307344084507,11.311155361577475
156Gd,0.14217622185287151,-6.8278682498501375,178.52914278163797,-2082.8904053732454,8628.13299001009,1811.0648565848498,0.0020485074615719497,2.4612455079036875
157Gd,383.00802627023285,-22597.395142946385,874053.8819118423,-1.686974095951238e7,1.5721746461553946e8,-5.648221429178559e8,3.8949451457771924,11.361693779365423
158Gd,0.07876761337666713,-3.6009465506014005,88.72756876490466,-978.3488784027605,3850.905448754721,664.101744780256,0.0009537445662909363,5.055706141189324
160Gd,0.02150875926684801,-0.6695035668808874,10.52614687163746,-65.26192690612953,80.05288867832012,21.06765918978266,0.00028499225156843207,4.7067209610437475
152Gd,27.640057979589677,-721.1296532931185,15860.171184112189,-172253.96840108425,890845.8714207832,-1.7817789477041808e6,1.090467863692332,2.6007452177198176
154Gd,4.259899803084111,-116.38978111282636,2537.4912446707303,-27464.676849306474,141935.86541377765,-283608.38397849293,0.15854519838490566,2.4693854343636286
155Gd,1643.278847381663,-40421.13906654045,889911.7032552728,-9.66589050762569e6,4.9883028973043054e7,-9.9555404923526e7,68.46851482132973,2.6443899298026987
156Gd,0.7872679895151506,-20.9793446656108,392.94074837730545,-3677.5582005415476,16330.75076196932,-27714.06288052497,0.031241601686231763,0.5626246078132735
157Gd,6826.748000937812,-168407.76545373737,3.7071251007109582e6,-4.02409681383575e7,2.0751394654971355e8,-4.1376110711078644e8,283.749882783571,2.6501014287762934
158Gd,0.5201300650964545,-15.429307433861839,324.4881402542227,-3403.114290523371,17062.74714721683,-32987.33287251012,0.017048548735246978,2.0176567900186075
160Gd,0.12495492520139477,-3.8793019195939245,80.07776455886466,-835.7449767522098,4218.245078906819,-8265.886516825121,0.0036193320064761684,1.917883291708923
152Gd,33.575176711894244,-58.009368202511205,347.9322655051849,-912.9760749316657,956.0578844493615,-347.7604529405256,9.726644091390062,0.6268589663543881
154Gd,9.748829022271405,-21.454556992670543,129.18473525179627,-368.1151358728442,450.50268438684344,-205.23038891794917,2.679883005738513,0.5685110766413592
155Gd,798.9071518238378,-114.30185770501093,-648.1932958276161,8930.25008558023,-25706.72138446693,19982.06456143433,262.2918303512565,0.6444959590147896
156Gd,4.361438232725783,-12.743780091648615,79.97303543456582,-241.80238563776646,324.9827034171348,-164.52047309852057,1.1248902243118046,0.5457391220022026
157Gd,3201.0024238702463,-225.84536354049726,-4261.034223341034,41830.221908356645,-113013.82373610265,86103.01597983729,1054.3054120903682,0.651084771631595
158Gd,2.398546281884898,-5.6838787060592875,34.14881077505418,-98.91928856701082,124.66294247153178,-58.77460557952698,0.6470279456058753,0.5479628522144809
160Gd,0.48862850060220825,-1.4883531316526315,8.199129391097319,-23.930148684710492,31.64135759147581,-15.761815644192644,0.11786545672277965,0.4216418055182387
152Gd,14.955517010361664,-7.538917615074876,-1.5999962157179568,1.7934093128256712,-0.3862197836804173,0.02298515731190304,27.67496253526737,-0.8613849857544613
154Gd,4.0053194554889675,-2.363959561440173,-0.3134733650768318,0.5829315923794296,-0.1636970101663011,0.014720704456207604,6.479586702147591,-0.8804341657940744
155Gd,407.06877098869506,-175.56389412795417,-40.2062168273319,27.577990877557976,-1.2911509454992016,-0.5628490655249264,868.1118509549855,-0.842135880807836
156Gd,1.6660436153103921,-1.0888354743507518,-0.08683066602642416,0.265064683046579,-0.08334368343672277,0.008352445951631461,2.414688022024301,-0.8967770430774317
157Gd,1642.8131527066848,-701.6564530810581,-160.31689846814788,105.18339575290781,-2.653954483875793,-2.5974485956486824,3532.563520206829,-0.8411475853089114
158Gd,0.952910177733443,-0.5899642214499867,-0.07484427459163692,0.1559979191383066,-0.04680510088562075,0.00453591248531691,1.4552967656244638,-0.8948495409496005
160Gd,0.1758960565250327,-0.15260253037617996,0.03613766050339807,0.006602068300916799,-0.0041841697485984,0.0005022594937785221,0.21414578285893102,-0.9019369421194927
152Gd,14.46667344165931,-9.237172718941194,1.0894265693048912,0.49220651210636945,-0.14785286795775765,0.011334300298210994,39.28436519371028,-0.9864319400100019
154Gd,4.142462876596596,-3.1763452121589237,0.7929142277852705,-0.025573160136142546,-0.016437796774963483,0.001727792289477693,9.41489263234511,-0.9923819199400035
155Gd,336.4894932966514,-158.2938722232845,-24.445761875446564,28.236968924439417,-5.987728543331405,0.4097381353210892,1152.274462740703,-0.9833070862660099
156Gd,1.7994162317093307,-1.5219166068383574,0.4729860562164252,-0.05556376863822895,-0.0002346846555205812,0.00034637712459662987,3.5016182064591455,-0.9916679656846639
157Gd,1345.668388200749,-615.8364929928542,-112.8744975185866,118.00854764201672,-24.71593650458241,1.6826452716754077,4685.556196788052,-0.9833173489076289
158Gd,1.0247316756124716,-0.8324522415871705,0.23763927997457288,-0.020447045944699198,-0.0019033284195230573,0.00030235893906908505,2.155915592503544,-0.9959263434427648
160Gd,0.1835854515670079,-0.1768695312761897,0.06935016123922609,-0.013475146911681425,0.001262098781008441,-4.383637126677729e-5,0.3109408705551965,-0.9976735000627627
152Gd,30.914220422822538,-42.103109043053365,23.95735239627986,-6.89316778573379,0.9855617324207766,-0.05556003655989293,26.693120443617126,-1.0368891051300608
154Gd,4.031249297744058,-5.519320832408132,3.155101862756784,-0.9112345063809205,0.1306782257502436,-0.007384612758420984,3.4327787198501327,-1.0366647877931587
155Gd,2069.729333316579,-2808.800836800413,1593.2564975692476,-457.24727114805563,65.24140495439616,-3.6718675755459986,1807.1462781797134,-1.0374650106995496
156Gd,0.3950313632077537,-0.5589967099286027,0.3285773187867116,-0.09701872620408977,0.014155550197121624,-0.0008108499828496693,0.3264497637932204,-1.0491155069193827
157Gd,8582.017922611773,-11645.885864059173,6605.666582094361,-1895.6828753764908,270.4737544672488,-15.22225222531531,7493.052579733568,-1.0374317935500634
158Gd,0.29578980971027585,-0.41443581058026924,0.24161690178606113,-0.07088871791538377,0.010292546901418637,-0.0005873409300957353,0.23756610902660216,-1.036618514864132
160Gd,0.06127308405240469,-0.0856455185289253,0.04983621330342238,-0.01460019048365342,0.002117463506084701,-0.00012072634286015583,0.04973689994369383,-1.0375737535612566
152Gd,22.281828609206716,-17.355788889086064,11.094234121423952,-8.146310257606531,3.2480248716554017,-0.469099503607397,33.748099716410316,-0.7501844513138992
154Gd,4.711027856939965,-3.814567929526126,1.9823922360541357,-1.2340932115579573,0.49209923368790653,-0.07321879527018875,6.486240103230735,-0.7852297930386142
155Gd,928.0973712049336,-705.8783125910732,526.3526127869461,-415.328534816411,163.5777098928183,-23.10688991502794,1506.6046397175182,-0.7202279977555897
156Gd,1.5817331516558801,-1.3371217192341387,0.5357325057443125,-0.23720019374779414,0.09451920893179754,-0.015160833566034239,1.9400210799418407,-0.8390075585782066
157Gd,3790.335186185739,-2881.9678364919814,2160.5075594364366,-1707.8736919076687,672.2810762458611,-94.89394686100364,6165.860863394081,-0.7194239016217778
158Gd,0.9313726493638567,-0.7745061875518731,0.3324912337921789,-0.16806144382993177,0.06776443579869926,-0.0106094968881772,1.198167486469271,-0.8322464099782385
160Gd,0.17115004823172383,-0.17006501274358368,0.0839967339290157,-0.034017263377009936,0.010588113972186227,-0.0014773705628396863,0.18230467268738906,-0.8368000951627589
152Gd,22.277570024765197,-17.358830080127117,11.10500942286317,-8.154968040001993,3.251082290085224,-0.46951090633267545,33.737293166284964,-0.7501349899716884
154Gd,4.709903244732434,-3.8139909861553547,1.9829972844854584,-1.234951419221594,0.49249071823187424,-0.07328111830844483,6.4843530308707855,-0.7851978849493031
155Gd,927.9503730477502,-706.2873012488609,527.3429912910995,-416.13828839765534,163.87615540501093,-23.148389055003776,1505.9358616485647,-0.720113071085278
156Gd,1.5814179944050506,-1.3371418100660242,0.5361729992361454,-0.23754382786814596,0.09462404922160304,-0.015172512709426633,1.9395278898478334,-0.8390024667689683
157Gd,3789.7280775507134,-2883.768752352172,2164.98544889254,-1711.633010476258,673.6921524422404,-95.0922659553247,6162.557616266857,-0.7192646147284332
158Gd,0.9311208667256398,-0.774226295510474,0.33239046469449607,-0.16810138591777052,0.06780567740360273,-0.01061794585636024,1.1979314277639719,-0.8322611187624541
160Gd,0.17109324256234498,-0.16994412772476988,0.08385332459898626,-0.03392529484373421,0.01055916611632806,-0.0014738583734002035,0.18228254787581194,-0.8368404185373733
