from,to,Gd-152,Gd-154,Gd-155,Gd-156,Gd-157,Gd-158,Gd-160
*,*,*,*,Ivuna,*,*,*,*
0,1,8.2176E-03,1.8698E-03,3.6902E-01,6.6927E-04,1.5274E+00,3.8463E-04,1.3560E-04
1,2,1.3952E-02,2.9808E-03,6.6756E-01,1.0187E-03,2.7588E+00,5.7404E-04,1.9281E-04
2,3,1.9608E-02,4.0617E-03,9.6866E-01,1.3544E-03,3.9987E+00,7.5535E-04,2.4351E-04
3,4,2.4721E-02,5.0434E-03,1.2410E+00,1.6188E-03,5.1227E+00,9.0932E-04,2.8880E-04
4,5,2.9669E-02,5.9509E-03,1.4981E+00,1.9251E-03,6.1901E+00,1.0527E-03,3.2764E-04
5,6,3.4392E-02,6.8245E-03,1.7653E+00,2.1664E-03,7.2909E+00,1.1858E-03,3.6251E-04
6,7,3.8596E-02,7.5377E-03,1.9740E+00,2.4039E-03,8.1514E+00,1.3248E-03,3.8699E-04
7,8,4.2562E-02,8.1923E-03,2.2104E+00,2.4638E-03,9.1322E+00,1.3935E-03,4.0564E-04
8,9,4.6189E-02,8.7145E-03,2.4259E+00,2.6319E-03,1.0020E+01,1.4326E-03,4.1725E-04
*,*,*,*,Mighei,*,*,*,*
0,1,1.5223E-01,2.3815E-02,8.9932E+00,4.8479E-03,3.7426E+01,3.0273E-03,7.4001E-04
1,2,2.8793E-01,4.3350E-02,1.7562E+01,7.9637E-03,7.2863E+01,5.0416E-03,1.1812E-03
2,3,4.1802E-01,6.2122E-02,2.5793E+01,1.0895E-02,1.0695E+02,6.9737E-03,1.5922E-03
3,4,5.4909E-01,8.0930E-02,3.4096E+01,1.3763E-02,1.4136E+02,8.8962E-03,1.9906E-03
4,5,6.7757E-01,9.9412E-02,4.2207E+01,1.6641E-02,1.7500E+02,1.0788E-02,2.3815E-03
5,6,8.0703E-01,1.1786E-01,5.0456E+01,1.9403E-02,2.0920E+02,1.2654E-02,2.7470E-03
6,7,9.3145E-01,1.3538E-01,5.8339E+01,2.1949E-02,2.4190E+02,1.4383E-02,3.0918E-03
7,8,1.0506E+00,1.5198E-01,6.5920E+01,2.4267E-02,2.7334E+02,1.5958E-02,3.4172E-03
8,9,1.1654E+00,1.6803E-01,7.3263E+01,2.6306E-02,3.0377E+02,1.7485E-02,3.7199E-03
9,10,1.2653E+00,1.8211E-01,7.9613E+01,2.8518E-02,3.3012E+02,1.8930E-02,3.9851E-03
10,11,1.3556E+00,1.9440E-01,8.5281E+01,3.0501E-02,3.5369E+02,1.9936E-02,4.2288E-03
11,12,1.4350E+00,2.0567E-01,9.0470E+01,3.1854E-02,3.7512E+02,2.1093E-02,4.4160E-03
12,13,1.5052E+00,2.1545E-01,9.5063E+01,3.3365E-02,3.9423E+02,2.1975E-02,4.5857E-03
13,14,1.5573E+00,2.2211E-01,9.8285E+01,3.4011E-02,4.0766E+02,2.2316E-02,4.7167E-03
14,15,1.5860E+00,2.2640E-01,1.0025E+02,3.3746E-02,4.1579E+02,2.2877E-02,4.7661E-03
15,16,1.5905E+00,2.2676E-01,1.0082E+02,3.5577E-02,4.1844E+02,2.3167E-02,4.7501E-03
*,*,*,*,Allende,*,*,*,*
0,2.5,5.5171E-01,1.5898E-01,1.3625E+01,6.9551E-02,5.4705E+01,3.9086E-02,7.9937E-03
2.5,5,1.2347E+00,3.5118E-01,3.1384E+01,1.5200E-01,1.2612E+02,8.5836E-02,1.7041E-02
5,7.5,1.9257E+00,5.4547E-01,4.9426E+01,2.3493E-01,1.9868E+02,1.3303E-01,2.5986E-02
