from,to,Sm-144,Sm-147,Sm-148,Sm-149,Sm-150,Sm-152,Sm-154
*,*,*,*,Ivuna,*,*,*,*
0,1,6.9570E-05,4.1507E-03,2.8836E-04,5.2183E-01,2.4226E-03,1.3648E-02,3.1531E-04
1,2,9.9066E-05,6.3559E-03,4.3670E-04,8.8879E-01,3.8193E-03,2.1543E-02,4.9700E-04
2,3,1.2475E-04,8.5160E-03,5.7952E-04,1.2424E+00,5.2244E-03,2.9344E-02,6.7137E-04
3,4,1.4718E-04,1.0455E-02,7.0374E-04,1.5694E+00,6.4527E-03,3.5549E-02,8.2149E-04
4,5,1.6721E-04,1.2334E-02,8.2259E-04,1.8927E+00,7.5763E-03,4.0911E-02,9.6708E-04
5,6,1.8552E-04,1.3998E-02,9.2336E-04,2.2127E+00,8.6395E-03,4.7919E-02,1.0921E-03
6,7,1.9916E-04,1.5751E-02,9.9513E-04,2.4744E+00,9.7180E-03,5.0968E-02,1.2030E-03
7,8,2.1223E-04,1.7047E-02,1.0372E-03,2.7959E+00,1.0428E-02,6.0280E-02,1.2441E-03
8,9,2.1810E-04,1.7840E-02,1.1306E-03,2.9516E+00,1.1204E-02,5.4685E-02,1.3882E-03
*,*,*,*,Mighei,*,*,*,*
0,1,5.1879E-04,4.0877E-02,2.1609E-03,1.1425E+01,3.1562E-02,1.5591E-01,3.2497E-03
1,2,8.9214E-04,7.0106E-02,3.6402E-03,2.0946E+01,5.7119E-02,2.6457E-01,5.7897E-03
2,3,1.2447E-03,9.8236E-02,5.0363E-03,3.0245E+01,8.1730E-02,3.7545E-01,8.1743E-03
3,4,1.5935E-03,1.2622E-01,6.4108E-03,3.9702E+01,1.0647E-01,4.8179E-01,1.0575E-02
4,5,1.9340E-03,1.5378E-01,7.7687E-03,4.9053E+01,1.3084E-01,5.9220E-01,1.2934E-02
5,6,2.2718E-03,1.8114E-01,9.0651E-03,5.8519E+01,1.5533E-01,6.9480E-01,1.5236E-02
6,7,2.5933E-03,2.0693E-01,1.0286E-02,6.7633E+01,1.7860E-01,7.9967E-01,1.7435E-02
7,8,2.8993E-03,2.3080E-01,1.1420E-02,7.6384E+01,2.0021E-01,8.8757E-01,1.9512E-02
8,9,3.1916E-03,2.5371E-01,1.2511E-02,8.4739E+01,2.2136E-01,9.9075E-01,2.1529E-02
9,10,3.4447E-03,2.7490E-01,1.3484E-02,9.1958E+01,2.4032E-01,1.0749E+00,2.3304E-02
10,11,3.6729E-03,2.9269E-01,1.4306E-02,9.8904E+01,2.5554E-01,1.1311E+00,2.4781E-02
11,12,3.8733E-03,3.0890E-01,1.5007E-02,1.0448E+02,2.7114E-01,1.1778E+00,2.6124E-02
12,13,4.0507E-03,3.2217E-01,1.5724E-02,1.0989E+02,2.8426E-01,1.2353E+00,2.7474E-02
13,14,4.1849E-03,3.3116E-01,1.6079E-02,1.1389E+02,2.9190E-01,1.2678E+00,2.8104E-02
14,15,4.2630E-03,3.3646E-01,1.6419E-02,1.1603E+02,2.9891E-01,1.2959E+00,2.8846E-02
15,16,4.2728E-03,3.3852E-01,1.6449E-02,1.1680E+02,3.0019E-01,1.2943E+00,2.9056E-02
*,*,*,*,Allende,*,*,*,*
0,2.5,2.5509E-03,4.6432E-01,2.6692E-02,2.6342E+01,2.2460E-01,1.7387E+00,2.8854E-02
2.5,5,5.2937E-03,1.0231E+00,5.8664E-02,5.9551E+01,4.9699E-01,3.8243E+00,6.3872E-02
5,7.5,7.9656E-03,1.5889E+00,9.0675E-02,9.3227E+01,7.7363E-01,5.9627E+00,9.8915E-02
